CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
38480-28-3	C1=CNC(=C1)Br	InChI=1S/C4H4BrN/c5-4-2-1-3-6-4/h1-3,6H	SAQAERNKMHATDZ-UHFFFAOYSA-N	0,30	5,73
4513-94-4	N#Cc1[nH]ccc1	InChI=1S/C5H4N2/c6-4-5-2-1-3-7-5/h1-3,7H	BQMPGKPTOHKYHS-UHFFFAOYSA-N	-0,62	5,66
462-06-6	Fc1ccccc1	InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H	PYLWMHQQBFSUBP-UHFFFAOYSA-N	-1,04	6,28
108-90-7	Clc1ccccc1	InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H	MVPPADPHJFYWMZ-UHFFFAOYSA-N	-0,21	6,15
108-86-1	Brc1ccccc1	InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H	QARVLSVVCXYDNA-UHFFFAOYSA-N	0,22	6,06
626-55-1	Brc1cccnc1	InChI=1S/C5H4BrN/c6-5-2-1-3-7-4-5/h1-4H	NYPYPOZNGOXYSU-UHFFFAOYSA-N	-0,29	5,79
626-60-8	Clc1cccnc1	InChI=1S/C5H4ClN/c6-5-2-1-3-7-4-5/h1-4H	PWRBCZZQRRPXAB-UHFFFAOYSA-N	-0,33	5,90
372-47-4	Fc1cccnc1	InChI=1S/C5H4FN/c6-5-2-1-3-7-4-5/h1-4H	CELKOWQJPVJKIL-UHFFFAOYSA-N	-0,47	6,08
6332-56-5	[O-][N+](=O)C1=CC=CNC1=O	InChI=1S/C5H4N2O3/c8-5-4(7(9)10)2-1-3-6-5/h1-3H,(H,6,8)	BOAFCICMVMFLIT-UHFFFAOYSA-N	1,39	4,19
132993-20-5	C1CCN(C1)C2=CC(=CC=C2)[N+](=O)[O-]	InChI=1S/C10H12N2O2/c13-12(14)10-5-3-4-9(8-10)11-6-1-2-7-11/h3-5,8H,1-2,6-7H2	GRNJGZQBTNJPIL-UHFFFAOYSA-N	0,92	3,35
66-22-8	O=C1NC=CC(=O)N1	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	ISAKRJDGNUQOIC-UHFFFAOYSA-N	0,01	5,64
932-64-9	[O-][N+](=O)C1=NC(=O)NN1	InChI=1S/C2H2N4O3/c7-2-3-1(4-5-2)6(8)9/h(H2,3,4,5,7)	QJTIRVUEVSKJTK-UHFFFAOYSA-N	2,03	3,63
2683-90-1	O=C1N=CN=C2NNN=C12	InChI=1S/C4H3N5O/c10-4-2-3(5-1-6-4)8-9-7-2/h1H,(H2,5,6,7,8,9,10)	OEEYCNOOAHGFHL-UHFFFAOYSA-N	1,79	3,95
1124-33-0	[O-][N+](=O)c1cc[n+]([O-])cc1	InChI=1S/C5H4N2O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4H	RXKNNAKAVAHBNK-UHFFFAOYSA-N	1,80	3,78
24807-55-4	[O-][N+](=O)c1[nH]ncn1	InChI=1S/C2H2N4O2/c7-6(8)2-3-1-4-5-2/h1H,(H,3,4,5)	KUEFXPHXHHANKS-UHFFFAOYSA-N	1,66	5,23
56797-78-5	[O-][N+](=O)N1C(=O)NC=CC1=O	InChI=1S/C4H3N3O4/c8-3-1-2-5-4(9)6(3)7(10)11/h1-2H,(H,5,9)	FIGJKSJMYKOQFM-UHFFFAOYSA-N	2,23	5,00
611-08-5	[O-][N+](=O)C1=CNC(=O)NC1=O	InChI=1S/C4H3N3O4/c8-3-2(7(10)11)1-5-4(9)6-3/h1H,(H2,5,6,8,9)	TUARVSWVPPVUGS-UHFFFAOYSA-N	1,57	4,99
38858-89-8	[O-][N+](=O)c1[nH]nc(c1)[N+]([O-])=O	InChI=1S/C3H2N4O4/c8-6(9)2-1-3(5-4-2)7(10)11/h1H,(H,4,5)	UKZXCZWGGXVKNN-UHFFFAOYSA-N	2,06	5,13
3272-08-0	[O-]c1ccc(cc1[N+]([O-])=O)C#N	InChI=1S/C7H4N2O3/c8-4-5-1-2-7(10)6(3-5)9(11)12/h1-3,10H/p-1	INBLGVOPOSGVTA-UHFFFAOYSA-M	1,52	4,64
