,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
Car Car C2r Nd0,247,43,46,34,21,10,1,3,0,0,1,3,9,16,29,47,41,250
Car C2r Nd0 C3r,185,22,8,0,0,0,0,0,0,0,0,0,0,0,1,4,3,54
Car Car C3r Nd0,174,24,55,66,66,40,23,19,24,20,29,15,36,67,80,43,33,165
C2r Nd0 C3r Car,139,3,0,0,1,1,0,0,14,8,14,18,24,3,1,7,3,6
.=O C2r Nd0 C3r,239,22,6,1,0,0,0,0,0,0,1,2,0,1,5,18,55,544
Car Car Cs2 Nd0,1154,885,711,484,342,196,127,84,64,55,88,106,197,330,525,711,934,1236
Car Car Sul Car,3297,49,42,35,26,10,29,31,30,34,30,31,15,23,35,31,41,1016
Car Nac Car Sul,1091,10,2,14,7,1,0,0,0,0,0,0,0,19,7,2,0,757
Car Cs2 Nd0 Car,16,2,5,3,0,0,0,0,0,0,1,0,0,0,8,24,144,1060
Car Sul Car Nd0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,700
Car Sul Car Nac,1293,20,2,1,0,0,8,14,5,6,17,4,0,0,3,7,12,326
Cs2 Car Car Nac,231,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1396
Cs2 Car Sul Car,0,0,0,0,0,0,0,0,0,0,0,6,0,3,12,20,49,342
Nd+ C3r C3r Nac,45,35,41,82,298,704,156,26,23,22,5,15,18,9,10,16,13,43
Cs3 Car Car Nd0,730,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,946
Car Nd0 Car Sul,93,18,15,1,0,0,0,0,0,0,0,0,0,0,0,2,1,108
Cs3 Cs3 Nd+ C3r,15,21,30,27,65,118,193,179,157,85,65,84,67,82,104,194,209,213
Nac Car Car Sul,1207,44,15,6,9,4,0,1,1,0,0,0,4,4,5,8,16,268
Sul Car Cs2 Nd0,38,11,2,6,2,3,0,0,0,0,0,1,2,2,7,11,53,108
Sul Car Cs2 .=O,157,69,27,13,9,3,4,2,0,0,2,0,1,4,4,12,31,97
Nd0 Car Car Hal,444,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
Nac Car Cs3 Nac,9,9,10,17,16,10,22,14,32,16,27,14,9,9,22,27,52,33
Car Cs3 Nac Cs3,4,2,2,11,21,29,55,53,41,53,63,59,28,11,1,3,7,14
Car Cs3 Nac Car,16,5,8,16,31,91,160,193,306,287,167,109,57,31,13,9,7,15
Car Car Cs3 Nac,164,154,134,137,145,138,136,160,163,185,164,150,137,143,140,125,135,138
Car Cs2 Nd0 Cs3,22,2,0,1,2,3,1,2,8,2,2,12,9,14,18,56,229,1687
Car Cs3 Cs3 Car,1,5,0,3,17,59,87,67,61,23,15,23,11,9,27,49,161,231
Car Nd0 Cs2 O_a,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,11,71
C3r C3r Cs2 Nd0,18,18,23,29,23,43,59,92,88,129,143,137,79,108,161,95,69,74
C3r C3r Cs3 Nd+,4,5,5,6,16,41,43,35,32,15,12,11,8,24,21,33,65,113
C3r Cs2 Nd0 Cs3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,3,7,36,408
Car Car C2r C2r,300,56,66,91,46,30,19,14,7,12,14,20,31,48,75,72,62,301
Car Car C2r C3r,202,61,52,22,14,12,13,10,5,7,12,11,12,14,23,53,58,208
C3r C3r C2r Car,16,13,26,50,18,4,7,5,11,24,13,2,6,5,29,26,21,39
C3r C3r C2r C3r,31,27,24,40,47,72,28,7,9,9,6,12,11,7,16,21,36,34
C3r C3r C2r .=O,27,50,35,55,53,130,145,81,56,58,64,67,86,92,193,267,262,256
C3r C2r C2r Car,51,19,7,2,0,2,0,0,0,0,0,0,0,0,0,15,15,115
C2r C2r C3r Cs3,1,4,3,3,1,11,13,13,29,26,59,60,28,24,28,10,13,12
Car C2r C3r Cs3,0,0,0,0,0,8,13,4,5,5,1,11,10,11,2,0,0,1
Nd0 Nac Car Car,844,1,2,0,8,0,5,0,1,1,1,4,2,7,0,0,0,309
