,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
C3r Cs2 Cs2 Cs2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
Cs2 C3r Cs3 Car,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs2 Cs2 Cs2 Cs2,5,0,1,0,1,0,0,0,5,0,0,5,1,5,11,17,17,211
Cs2 Cs2 C3r Cs3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
O_d C3r Car Car,13,3,11,7,8,8,23,19,23,23,13,20,11,9,7,11,3,14
C3r Nac Car O_a,23,6,2,2,0,0,0,0,0,0,0,0,0,0,1,2,5,23
.=O C2r Sul C3r,0,1,0,2,0,0,1,0,0,0,0,1,4,5,9,9,13,15
C2r Sul C3r C3r,15,22,37,20,1,0,0,1,2,2,2,2,3,1,1,0,4,1
Nd0 C2r Sul C3r,53,11,5,0,0,0,0,0,0,0,0,0,0,0,2,0,6,34
C3r Nd0 C2r Sul,21,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_d C3r O_a C3r,4,10,48,31,9,6,1,1,5,4,1,0,2,3,2,1,17,40
C3r O_a C2r C2r,22,38,23,4,2,0,3,2,0,1,0,1,1,1,2,6,16,25
O_a C2r C2r C2r,34,7,8,2,1,1,0,0,0,0,0,0,0,1,1,0,5,18
Cs3 C2r C2r C2r,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,242
Car Nac Cs2 Nac,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Nac Cs2 Nac Cs3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4
C2r C3r Nac C3r,16,10,19,19,19,14,14,18,2,2,4,18,18,22,7,21,19,16
Nac C2r C3r Cs3,0,6,0,9,12,19,47,47,68,50,20,13,7,4,7,7,6,16
Nac C2r C3r Nac,58,30,34,10,3,2,0,1,0,0,0,1,0,1,4,6,6,9
Car Nd0 Cs2 C3r,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,257
Nd0 Cs2 C3r Cs2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Cs2 C3r Cs2 .=O,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
.=O C2r C3r Nd+,2,3,13,18,11,15,6,2,0,0,3,2,13,1,5,11,18,40
C3r C2r C3r Nd+,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1
C3r C2r C3r Cs3,0,0,2,5,4,2,10,8,6,6,8,7,3,7,10,6,9,12
Cs2 Car Car C3r,69,28,12,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0
C3r Nd0 Cs2 Nd0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,79
.=O Cs2 C3r O_a,33,40,41,29,25,18,23,16,14,12,12,15,17,23,28,39,42,53
O_d C3r Cs2 Nd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
O_a C3r Cs2 Nd0,20,2,3,1,1,0,1,1,0,2,7,8,3,2,1,0,0,2
Nac Cs3 Cs3 Nd+,8,8,12,12,11,3,3,6,1,1,1,0,2,1,6,7,12,16
Cs2 Car Nac O_a,0,0,0,0,0,0,1,1,0,2,3,0,3,0,3,3,6,14
C3r C3r Cs3 SO2,1,2,0,1,1,0,0,2,0,0,0,1,1,0,0,0,3,6
C3r Cs3 SO2 .=O,2,1,0,4,4,4,1,1,0,0,0,0,0,0,1,1,3,2
C3r Cs3 SO2 Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3r Car O_a Nac,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,3,2,16
O_a Car C3r C3r,4,3,1,3,6,8,4,2,2,2,2,2,1,3,4,2,4,14
Car C3r C3r O_d,1,0,1,0,2,21,32,34,94,38,12,22,14,4,4,10,6,10
Car C3r O_a C3r,9,1,6,9,9,12,2,8,2,17,17,22,5,3,4,6,13,59
Nac Car C3r O_a,2,0,0,1,1,5,11,2,2,9,18,1,0,1,0,0,1,2
Nd0 Car C3r O_a,0,0,7,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C2r Car Car O_a,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Nac SO2 Nac C3r,3,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
Nac SO2 Nac Cs3,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,3
Nac C3r Cs3 O_a,0,0,1,2,6,0,3,3,0,0,0,0,2,0,0,1,0,1
SO2 Nac C3r Cs3,0,1,1,1,1,2,5,0,4,5,9,2,2,5,0,0,0,0
SO2 Nac Cs3 Car,0,0,0,3,3,2,6,21,13,6,6,3,2,1,7,3,0,2
C2r C3r C3r O_d,0,3,1,20,23,28,19,11,3,4,0,0,4,13,25,10,39,47
O_d C3r C3r Nd+,3,3,5,9,42,156,128,59,33,36,23,19,19,7,11,14,11,60
Cs3 Nac Cs3 Cs2,1,1,3,4,3,10,11,15,17,10,4,6,2,0,4,1,1,4
Car Cs2 Car Nac,15,3,6,3,3,7,3,0,0,0,3,0,0,0,0,3,1,1
O_d Cs3 Nd+ Cs3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd0 Cs2 Cs3 C3r,1,1,1,3,2,0,0,5,4,11,12,7,6,8,7,20,12,8
Car Cs2 Car Sul,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Car C3r Cs2 Nd0,2,0,0,0,0,2,0,3,12,2,0,0,0,0,0,0,0,1
Cs2 C3r Nd0 Cs2,1,0,0,1,3,4,7,3,1,3,3,7,3,3,0,0,0,0
Nd0 Cs2 C3r Nd0,19,4,2,1,3,15,2,0,0,0,0,0,0,1,5,0,1,3
Nac Nac Nac Nac,183,73,47,21,25,1,3,5,3,1,0,0,0,0,1,1,0,3
.=O Cs2 C3r Nd0,4,6,4,5,6,2,0,1,0,0,5,2,9,13,6,4,10,21
Nd0 Cs2 Nac Cs2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs2 Nac Cs2 Car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cs2 Nac Cs2 .=O,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Car C2r C2r Nd0,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,68
Car C2r Cs2 Car,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27
Car Nd0 C2r C2r,129,6,1,5,1,0,0,0,0,0,0,0,0,0,1,3,7,30
Cs2 C2r C2r Nd0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,183
C3r C2r Nd+ C3r,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cs3 C3r Nd+ C2r,1,4,5,2,0,2,8,3,8,13,8,12,18,9,16,10,8,4
Cs3 C3r C2r Nd+,1,0,2,0,2,2,1,0,1,1,0,0,0,0,0,0,0,0
Nd+ C2r C3r O_a,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Car Nd0 Nac Nac,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd0 Nac Nac Nac,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C3r Nac C2r Nac,57,13,27,12,0,0,0,0,0,0,0,0,0,0,0,3,1,11
C3r Nac Cs3 Cs2,1,0,5,6,6,17,19,24,19,6,10,2,0,0,0,0,0,0
C3r C2r C2r Nac,56,9,6,4,0,1,0,0,2,3,3,0,0,1,0,0,2,14
Nac C3r C2r C2r,66,16,24,12,4,5,0,0,0,0,0,1,4,7,10,6,3,13
Nac C3r C2r Cs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9
Nac C2r Nac C2r,41,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nac C2r Nac Car,18,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45
C2r Nac C2r C2r,220,4,2,0,0,0,0,0,1,3,3,2,2,4,5,8,8,30
C2r Nac C2r Cs3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Nac C2r Nac Cs3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,21,22,38
Nac C2r C2r Cs2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,54
C2r C2r Cs2 Cs3,5,5,1,3,2,2,0,0,0,0,0,0,0,1,5,0,5,8
Cs2 C2r C2r Cs3,167,46,32,12,6,7,6,2,1,4,0,0,0,1,0,0,0,0
Car Nac C2r Cs3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22
Cs2 C3r Car Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car C3r Cs2 Nac,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Nac Cs3 Car O_a,0,0,0,0,2,3,5,4,2,2,0,0,1,1,2,0,0,1
C2r O_a C3r Cs3,1,0,4,6,10,6,9,7,18,15,23,15,16,19,27,30,21,23
C2r Nd0 C2r C3r,198,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7
C2r Nd0 C2r .=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,461
Nd0 Cs2 Cs2 .=O,45,1,0,12,8,2,1,0,1,0,1,2,1,6,11,4,0,5
Cs3 Cs2 Cs2 Car,42,7,3,0,0,0,1,0,0,0,0,0,0,0,2,5,11,40
Car Cs2 Cs2 Car,55,19,0,0,5,1,0,1,0,0,0,0,0,0,0,1,35,121
O_a Cs3 Cs3 Nd+,6,2,7,7,26,39,45,40,28,37,15,8,6,15,13,8,5,15
C2r C3r C2r Nac,108,5,6,3,0,0,0,1,0,0,0,0,2,1,0,9,0,12
C2r C3r C2r .=O,25,20,0,3,3,7,5,18,20,8,10,5,3,4,13,7,19,87
C2r Nac Car Nac,29,2,0,0,1,2,0,0,0,1,0,0,4,0,1,1,15,57
C3r C2r Nac Nac,120,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
C2r C3r C2r Cs3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
C2r Nac Nac Car,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,3,20
Cs3 Cs3 Csp Nac,4,5,5,6,5,3,2,1,2,0,3,1,4,2,1,1,2,7
Csp Cs3 Cs3 Car,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csp Cs3 Cs3 Nd0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Nac Nac C2r .=O,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,75
.=O C2r C2r C3r,20,5,1,0,0,0,1,3,3,3,0,0,0,1,0,3,21,70
C2r C2r Cs2 C3r,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Car C2r C2r Cs2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
C2r Cs2 C3r C3r,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Nac Cs2 C3r O_a,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Nd+ Cs3 Car Sul,1,0,0,1,0,0,0,3,4,0,4,1,0,0,0,0,0,1
Sul Car Nac Nac,240,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
Nac Cs2 Cs3 O_a,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,4
.=O Cs2 Nac C2r,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,13
Cs2 Nac C3r C2r,1,9,14,6,2,0,1,1,3,3,8,1,0,4,1,15,4,9
Cs2 Nac C2r Car,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs2 Nac C2r Nd+,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Nac Cs2 Nac C2r,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nac Cs2 Nac C3r,4,5,3,10,3,2,0,0,0,0,0,0,0,2,9,10,9,22
Nac C2r Nd+ C3r,68,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Car C2r Nd+ C3r,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,22
Car Car C2r Nd+,14,16,9,11,4,2,0,0,0,1,0,0,1,9,5,12,17,11
C3r Nac C2r Nd+,64,21,3,1,1,0,0,0,0,0,0,0,0,1,0,1,6,33
Nd0 C3r Nd0 Car,2,0,3,5,8,2,1,0,0,0,0,0,0,0,0,0,1,0
Nd0 C3r Nd0 C2r,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Car C3r Nd0 Car,0,0,0,3,2,14,6,6,3,1,0,0,1,0,2,14,3,8
Car Cs2 Cs3 Sul,0,0,0,3,1,2,0,0,0,0,0,0,1,4,1,0,2,11
Nd+ Cs3 Car Nd0,1,0,1,5,2,6,1,5,4,3,2,0,0,0,0,0,0,1
Cs3 Car Nd+ Car,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4,8,22
Cs2 C2r Nac C3r,0,0,0,0,0,0,2,1,1,1,5,5,3,2,2,5,7,19
Cs2 C2r C3r Sul,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C3r C3r Cs3 Cs2,5,7,4,7,19,46,56,53,15,13,7,7,7,9,8,31,51,56
C3r C3r Sul Cs3,3,0,0,2,6,0,2,1,0,1,0,0,1,2,1,3,4,10
Nac C2r Cs2 .=O,19,4,1,5,0,9,9,6,2,4,4,11,8,1,5,3,7,18
Nac C2r C3r Sul,17,1,1,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0
Cs3 C3r C3r Sul,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,2,2
Sul Cs3 Cs2 O_a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nd0 Car Cs3 Car,2,0,1,2,4,7,3,3,5,6,3,4,6,4,0,0,1,3
Nd0 Car Cs2 C2r,59,30,13,3,1,0,0,0,0,0,1,0,0,1,2,1,0,1
Car Cs2 C2r Nd0,22,14,5,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cs2 C2r C2r C2r,1,0,0,0,0,0,0,0,0,0,0,1,0,5,6,11,46,219
Nd0 C2r C2r C2r,243,20,2,0,3,3,4,0,1,2,0,0,1,1,2,5,7,73
Nd0 C2r C2r Cs3,8,0,0,0,0,2,0,0,0,1,0,2,6,3,0,2,5,95
C2r C2r C2r C2r,741,29,13,7,7,9,0,0,0,1,3,0,0,1,5,19,63,241
C2r C2r Cs2 Cs2,49,17,9,6,0,2,6,3,2,3,2,6,1,1,3,10,22,38
Cs3 C2r C2r .=O,80,7,4,0,0,2,0,5,0,2,0,0,0,0,0,0,0,2
Cs2 C2r C2r Cs2,51,19,11,7,5,1,0,0,1,1,1,5,5,1,5,0,0,1
Nd0 Cs2 C3r Nd+,11,4,1,0,2,1,0,2,0,0,2,0,16,33,24,10,6,16
C3r Nd0 Cs2 C3r,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,90
Nac Car C2r Nd0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
Car Car C3r O_a,48,32,48,27,19,37,24,21,38,26,27,33,36,29,31,42,27,42
O_a C3r Cs3 O_a,2,0,0,4,3,12,16,9,5,0,1,3,1,4,7,2,0,7
C3r Cs3 O_a Cs3,1,0,2,2,3,3,0,3,0,0,0,0,0,3,8,9,14,13
Car Car Cs3 Sul,10,8,8,2,1,17,21,39,22,35,25,28,13,1,2,7,9,11
Car Cs3 Sul Cs3,1,0,0,10,9,8,3,0,1,0,0,0,2,0,2,1,3,7
Cs2 Cs3 Cs3 Nd+,1,0,1,3,9,5,4,1,4,4,0,1,1,8,15,14,27,17
Nac Cs3 C3r Car,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,9
C3r Car Car Hal,60,23,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Nac Nd0 Car Cs3,0,0,0,0,0,0,1,0,0,0,2,1,5,7,16,14,26,49
C3r Nd+ Cs3 Csp,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,1
Csp Csp Cs3 Nd+,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,1,0,8
Cs3 Cs3 Nac .=O,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1
Car Cs2 Nac .=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd0 Car Car Sul,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110
Sul Car Nd0 Cs3,16,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
Nac Car Car SO2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
Nac C3r C3r Csp,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C3r C3r Csp Csp,7,6,8,1,4,5,5,4,8,6,1,6,2,2,6,3,4,5
C3r Csp Csp Cs3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Csp C3r Nac C3r,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car Car Sul C3r,23,12,10,4,3,2,6,4,7,7,4,6,0,3,7,8,22,25
Car Sul C3r C3r,1,7,14,5,0,5,4,4,5,0,1,0,1,2,8,10,4,12
SO2 Car Car Sul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SO2 Nd0 Cs2 C3r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15
Nd0 SO2 C3r C3r,0,2,0,4,4,7,1,3,5,17,0,1,2,6,0,3,12,12
Cs2 C3r Nd0 C2r,0,0,0,0,0,0,2,2,5,4,3,2,3,3,3,2,0,1
Cs2 C3r C3r C2r,3,3,0,0,2,1,2,3,0,3,3,2,0,1,1,1,4,7
Cs2 Nd0 SO2 C3r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
Nac Cs2 O_a C3r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
O_a Cs2 Nac Car,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
C2r C3r C2r C2r,84,14,16,21,3,4,6,4,8,16,21,8,1,6,2,4,4,49
Nd+ C3r C3r Cs2,2,4,5,5,0,6,2,2,3,6,1,12,3,4,5,2,17,45
C3r Cs2 Nac Cs3,24,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,5,41
O_a Cs3 Cs3 O_a,1,3,1,5,7,11,41,15,25,19,13,9,11,7,11,9,13,13
.=O Cs2 Cs2 Cs3,6,1,3,3,0,1,0,1,1,0,0,0,2,1,0,0,0,6
Cs2 Cs2 Cs3 Cs2,0,0,0,0,0,0,0,1,4,5,0,2,1,3,3,1,4,5
Car O_a Car .=O,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,6,11,54
O_a C2r C3r Nac,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3r Nac C2r C2r,110,20,18,10,5,1,0,0,0,0,0,3,1,1,1,5,6,42
.=O C2r C3r O_d,7,6,21,24,24,10,4,3,5,9,23,18,3,0,0,0,0,4
O_a C3r C2r Cs3,0,0,0,0,5,6,2,1,5,0,0,0,0,2,2,0,1,6
C3r C2r C3r O_a,1,1,0,0,0,3,0,1,0,0,0,0,1,2,0,1,3,0
O_d C3r C2r Cs3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
C2r C3r C2r C3r,3,1,1,0,1,2,4,5,3,3,0,0,2,0,0,0,0,3
C3r Cs3 Cs3 C3r,5,1,0,1,0,0,0,0,0,1,0,0,0,0,1,3,5,17
Car Nd0 Cs2 Nac,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,13,16,73
Cs2 Nac C2r C2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
C2r Nac Cs2 Nd0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3r Nac Cs2 Nd0,107,14,8,2,2,0,1,0,0,0,0,0,0,0,2,12,12,132
Nac C2r C2r Nac,41,13,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Nac Car Csp Nac,8,6,2,2,2,2,2,1,0,0,1,0,0,1,1,5,7,5
O_a C3r C2r Nac,14,11,2,3,4,0,1,2,0,0,3,16,2,0,0,8,1,1
Cs3 O_a C3r O_a,1,0,3,3,5,5,50,46,24,7,6,1,3,2,0,2,1,2
Car Cs3 O_a C3r,1,0,0,3,1,3,1,0,5,0,0,3,0,0,1,4,4,12
O_a Cs3 Car Nac,4,3,6,5,14,21,15,13,9,12,15,13,14,19,7,20,13,12
Nac Nac C3r O_a,1,0,0,0,0,0,0,0,5,3,3,1,0,0,0,0,1,1
Car Nac Cs2 C3r,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sul Car SO2 Nac,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,0,8,3
C2r C2r Nac SO2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6
Nac C2r Cs3 Nd+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Nac Csp Cs2 Car,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Csp Cs2 Car Car,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Car Nd0 C3r Cs3,1,2,3,7,0,0,1,0,4,9,2,0,4,3,5,4,6,4
Nd0 C3r C3r Nd0,117,3,0,0,23,5,11,11,3,0,0,5,11,0,1,0,0,1
Nd0 C3r Cs3 Nd0,0,1,0,2,7,1,0,2,0,1,0,0,0,0,0,0,0,1
Car Nd0 C3r C2r,13,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,8
Sul Car Nac Cs3,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,29
Car Sul Car .=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5
SO2 Nd0 C3r Car,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SO2 Car Car C3r,10,4,4,6,4,1,0,0,2,0,0,0,0,0,0,0,0,1
C3r O_a Cs3 C3r,0,0,0,0,2,2,0,0,1,2,2,1,1,0,1,3,9,3
C3r Car Nac O_a,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
O_d Car Car SO2,10,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Car Nd0 Car Csp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Nd0 Car Csp Nac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Car Nac C3r Car,19,0,0,3,8,19,22,11,9,4,6,2,1,5,4,11,11,69
C3r O_a Car Nac,22,13,10,5,0,1,0,0,1,0,0,0,0,3,0,0,4,7
Nac Cs2 O_a Cs3,0,0,0,0,0,0,1,0,0,2,1,2,0,4,5,13,10,52
Car Car Nd+ O_d,3,5,0,3,1,0,0,0,1,1,0,0,0,1,3,0,4,4
C2r C3r C2r Nd0,18,6,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5
C2r Nd0 C2r Nd0,38,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15
Cs2 Nd0 Nac Cs2,6,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,4,19
Car Cs2 Nac Nd0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,45
Cs3 Cs2 Nd0 Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,35
Nac Nd0 Cs2 .=O,61,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cs2 Cs3 Car Nac,0,1,1,1,5,7,6,3,6,20,7,1,1,0,1,1,0,5
Car Cs2 Cs3 Nac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Car Car SO2 Car,3,0,1,0,3,6,18,26,35,44,24,15,6,2,1,1,0,3
Nac Csp C3r C3r,6,0,7,4,10,1,8,5,4,7,9,6,6,5,3,3,8,4
Csp C3r C3r C3r,0,8,6,12,14,17,15,8,9,22,37,10,4,1,9,11,9,30
C3r C2r Cs2 Cs2,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20
O_d C3r C2r Cs2,6,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
C2r Cs2 Cs2 C2r,1,0,0,1,0,1,1,0,0,0,1,0,0,1,3,3,0,3
Car O_a C3r Cs2,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,7
Cs2 C3r Nd+ Cs3,0,1,0,4,16,28,22,5,2,0,0,4,0,0,0,0,0,0
.=O Nac Car Cs3,11,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
O_d C3r Car Nac,0,0,0,2,3,0,0,0,0,0,1,0,3,6,1,0,0,0
C3r Nd0 C2r Nac,69,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd0 C2r Nac Car,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Car Cs2 Nac O_d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36
O_d Nac Cs2 Cs3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Cs2 Cs2 Cs2 Car,4,1,0,2,0,0,0,0,2,0,0,0,0,0,1,5,11,149
O_d Nd0 Cs2 Cs2,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,19
Cs3 Nac Cs3 C3r,2,0,0,0,1,8,6,2,8,2,1,2,1,3,0,2,0,1
C3r Cs3 Nac Cs2,1,1,1,1,1,2,2,0,1,3,2,0,0,0,0,0,0,0
Car Car C3r Sul,9,8,10,2,6,4,11,19,14,18,22,9,6,8,3,6,5,6
Car C3r Sul C3r,5,1,4,0,1,0,0,0,0,1,6,2,1,1,1,0,1,5
C3r Sul C3r C2r,8,7,4,4,12,9,5,1,2,0,0,0,0,0,0,0,0,1
Sul C3r Nac C2r,8,4,4,1,10,6,7,0,0,0,3,18,14,12,3,1,0,0
Sul C3r Nac Cs3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sul C3r C2r .=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,41
C3r Sul C3r Nac,3,5,7,11,7,7,7,10,1,7,5,3,1,6,4,8,0,0
Car O_a C3r Cs3,2,0,8,14,6,1,2,4,1,2,9,7,5,3,7,16,24,17
Cs2 Cs2 Cs3 Nd+,0,0,0,0,3,0,0,1,1,1,9,8,6,5,5,2,2,1
Nac Nac Car O_a,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
Car C2r C2r C2r,48,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,17,108
C2r Car Nac Nac,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
C2r C2r Car Nac,34,0,0,0,3,0,0,0,0,0,0,0,0,1,1,3,3,33
C3r C3r Cs2 Cs3,2,1,1,3,2,4,9,2,4,1,2,1,2,0,0,2,2,1
C3r Cs2 Cs3 O_d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Cs3 Cs2 C3r O_d,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
O_a C3r Car Sul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
C3r Car Sul Car,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,10,117
Cs3 C3r Car Sul,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
