,smarts,count,group
157,[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~4~[!#1]~[!#1]~[!#1](~[!#1]~2~[!#1]~1)~[!#1]~3~4,1,basic
158,[#6]~1~[#6]~[!#1!#6]~[#6]~[#6]~[!#1!#6]~[#6]~[#6]~[!#1!#6]~[#6]~[#6]~[!#1!#6]~[#6]~[#6]~[!#1!#6]~1,1,basic
159,"[!#1!#6]=[!#1]1[!#1]=,:[!#1][!#1]([!#1]=,:[!#1]1)=[!#1!#6]",1,basic
160,[!#1]1-[!#1][!#1!#6][!#1][!#1!#6][!#1]-[!#1][!#1!#6][!#1][!#1!#6][!#1]-[!#1][!#1!#6]1,1,basic
161,[!#1!#6]=[!#1]~1~[!#1]~[!#1]~[!#1]~[!#1]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1](=[!#1!#6])~[!#1]~3~[!#1]~[!#1]~1~2,1,basic
162,[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~4~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~4~[!#1]~[!#1]~3~[!#1]~[!#1]~2~[!#1]~1,1,basic
163,[!#1!#6]S([!#1!#6])(=O)=O,2,basic
164,[!#1]:cS(=O)=O.[!#1]:cS(=O)=O.[!#1]:cS(=O)=O,1,basic
165,"[#8-,#8]-[#16]=[#8]",1,basic
166,[!#1!#6]=[#6]1[!#1]:3:[!#1]([!#1X3]([!#1]:2:[!#1]1:[!#1]:[!#1]:[!#1]:[!#1]:2)=[!#1!#6]):[!#1]:[!#1]:[!#1]:[!#1]:3,1,basic
167,[#6]1[#6][#6]:3:[#6]([#6]1):[!#1]:[#6]:2[#6][#6][#6][#6]:2:[!#1]:3,1,basic
168,"[#8]=[#16](=[#8])-[#8,#8-]",1,basic
169,[!#1]:[!#1]~1~[!#1](:[!#1])~[!#1](=O)~[#7]~[!#1]~1=O.[!#1]:[!#1]~1~[!#1](:[!#1])~[!#1](=O)~[#7]~[!#1]~1=O,1,basic
170,"[#8,#16]:1:[#6]:[#6]:[#6]:[#6]:1",2,basic
171,[!#1]1~[!#1]-[!#6!#1]-[!#1]~[!#1]-[!#6!#1]-[!#1]~[!#1]-[!#6!#1]-[!#1]~[!#1]-[!#6!#1]-[!#1]~[!#1]-[!#6!#1]-[!#1]~[!#1]-[!#6!#1]-1,1,basic
172,"C@=C(@C)[F,Cl,Br,I]",1,basic
173,[!#1!#6]=[!#1]-1-[!#1]~[!#1]-[!#1]-[!#1]~2[!#1!#6][!#1]~3-[!#1]-[!#1]~[!#1]-[!#1](=[!#1!#6])-[!#1]~3-[!#1]-[!#1]-1~2,1,basic
174,[#6]1-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6][#6]-[#6][!#1!#6]1,1,basic
175,[!#1!#6]=[!#1]~1~[!#1!#6]~[!#1]~[!#1!#6]~2~[!#1!#6]~1~[!#1]~[!#1!#6]~[!#1]~2=[!#1!#6],1,basic
176,[#8]:1:[#7]:[!#1]:[!#1]:[#7]:1.[#8]:1:[#7]:[!#1]:[!#1]:[#7]:1,1,basic
177,[!#1!#6]=[!#1]1-[!#1][!#1!#6]2[!#1](-[!#1]-[!#1][!#1!#6][!#1]2=[!#1!#6])[!#1!#6][!#1!#6]1,1,basic
178,[C!$(C(=O)(O[!#1])N)!$(C(-@O)(-@N)(-@C)-@C)]([N!$(N(CO[!#1])C=O)!$(N(CO[!#1])S(=O)=O)])O,1,basic
179,"[#16v2]:[#6]-,:[#6][#16v2]",1,basic
180,[#7R1X3]@[#6R2!$([#6]21[#6]([#6][#6][NX3R1]1)[#6][#6][NX3R1]2)]@[#7R1X3],1,basic
181,[$([!#1R3])!$([CR3]21[CR2][CR3]([CR2]1)[CR2]2)],1,basic
182,"[N!$([#7](=@C-@O)-@[C,S]=O)!$([#7]=@C-@O-@[C,S]=O)!$(N1=COCaa1)]@=C@-O",1,basic
183,"[!#1!$([#6,#16](@N@N)=O),r5]@N@N@[!#1!$([#6,#16](@N@N)=O),r5]",1,basic
184,[!#1]~1~[!#1]~[!#1]~2~[!#1]~1~[!#1]~[!#1]~2,1,basic
185,"[!#1!#6]=[!#1]-,:1-,:[!#1!#6]=,:[!#1]~[!#1]~[!#1!#6]~[!#1]=,:[!#1]-:1",1,basic
186,[!#1]~2~1~[!#1]~4~[!#1](~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~3~[!#1](~[!#1]~[!#1]~[!#1]~[!#1]~3)~[!#1]~[!#1]~4,1,basic
187,[n+][O-],1,basic
188,[#8]1[#6X4][#7][#6][#6]1,1,basic
189,"[Or5$([Or5]1cc[CX4][CX4]1),Or5$([Or5]1[CX4]cc[CX4]1)]",1,basic
190,[#8]1[#6]=[#6][#6](=[#6][#6]1=[#8])N,1,basic
191,"[#8X2!H1$([#8X2!H1][#6]=[#6])!$([#8X2!H1]A1=AA=Aaa1)!$([#8X2!H1]A=1A=AaaA=1)!$([#8X2!H1]1A=A[!#1]=,:[!#1]A1=O)!$([#8X2!H1]A=1[!#1]=,:[!#1][#7,#8]A(A=1)=O)!$([#8X2!H1]A=1[!#1]=,:[!#1]A([#7,#8]A=1)=O)]",1,basic
192,[!#1][#6]#[#6]A,2,strict
193,[!#1]@1@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1]@1,1,strict
194,"[!#1r7,!#1r8,!#1r9,!#1r10,!#1r11,!#1r12,!#1r13]@[!#1]1~[!#1]([!#1]1)@[!#1r7,!#1r8,!#1r9,!#1r10,!#1r11,!#1r12,!#1r13]",1,strict
195,"C1[!#1]=[!#1][!#1]=,:[!#1]1",1,strict
196,[!#1!#6]~[!#1]#[!#1],1,strict
197,[SX2v2]([!#1])[!#1],2,strict
198,C1CN=CCC1,1,strict
199,[#6]:1:[#6]:[#6]:2:[#6](:[#6]:[#6]:1):[#6]:[#6]:[#6]:[#6]:2,1,strict
200,[#7]@[#7](@[!#1])@[#7]-[!#1],1,strict
201,[!#1]-[!#1]-1(-[!#1])-[!#1]-[!#1]-[!#1]-1(-[!#1])-[!#1],1,strict
202,[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~1~[!#1]~2~3,1,strict
203,"[#6]-,:1-,:[#6][#8][#6]-,:[#6]-,:[#7]-,:1.[#6]-,:1-,:[#6][#8][#6]-,:[#6]-,:[#7]-,:1",1,strict
204,O=[#6]-1-[#7]-[#6]-2-[#6]-[#16]-[#6]-[#6]-2-[#7]-1,1,strict
205,[!#1!#6]=[!#1]-1[!#1!#6][!#1](=[!#1!#6])-[!#1]-2-[!#1]-3-[!#1]-[!#1]-[!#1](-[!#1]-3)-[!#1]-1-2,1,strict
206,[!#1]-1-[!#1]-2-[!#1]-[!#1]-3-[!#1]-[!#1]-1-[!#1]-[!#1](-[!#1]-2)-[!#1]-3,2,strict
207,[!#1]~2~1~[!#1]~[!#1]~[!#1](~[!#1]~[!#1]~1)~[!#1]~2,1,strict
208,[!#1]~2~1~[!#1]~[!#1]~[!#1]~[!#1](~[!#1]~1)~[!#1]~2,1,strict
209,[!#1]~2~1~[!#1]~[!#1](~[!#1]~[!#1]~1)~[!#1]~2,1,strict
