,smarts,count,group
192,"[H][#6]=,:1-,:[!#1](-,:[#6](=,:[!#1]~[!#1]~[!#1]~[!#1]=,:1)[H])=O",1.0,simplified
193,[H][#6]-1[!#1!#6][!#1]=[!#1]-[#6]([H])-[!#1]=[#7]-1,1.0,simplified
194,[H]C1([H])[!#1]-[!#1]-[!#1]-[!#1]C([H])([H])[#6]1!@=O,1.0,simplified
195,[H][#6]:1:[!#1](:[#6](:[!#1]:[!#1]:[!#1]:[!#1]:1)[#1])=O,1.0,simplified
196,[H][#6]~1=[#7]~[!#1]~[!#1]~[!#1]~[!#1]~[#16X2]~1,1.0,simplified
197,[#16X2]@1@[!#1!#6]@[!#1]@[!#1]@[!#1]@[!#1]@[!#1!#6]@1,1.0,simplified
198,[#6]1[#6][#8][#6]([#6][#6][#6]1)=O,1.0,simplified
199,[!#1]1[!#1!#6][#6]=[!#1!#6][#6]=[!#1!#6][!#1!#6]1,1.0,simplified
200,[#8]!@-[#6]-1=[#7]-[!#1]-[!#1]-[!#1]-[!#1]-[!#1]-1,1.0,simplified
201,[!#1!#6]!@=[!#1]~1~[!#1]~[!#1]~[!#1](!@=[!#1!#6])~[!#1]~[!#1](!@=[!#1!#6])~[!#1]~1,1.0,simplified
202,"[!#1!#6]=[!#1]-,:1-,:[!#1!#6]=,:[!#1]~[!#1]~[!#1]~[!#1!#6]=,:[#6]-:1",1.0,simplified
203,"[!#1!#6]=[!#1]-,:1-,:[!#1!#6]=,:[#6]~[!#1]~[!#1]~[!#1!#6]=,:[#6]-:1",1.0,simplified
204,"[H][!#1]~1~[!#1]=,:[!#1]-,:[!#1](-,:[!#1!#6]=,:[!#1]~[!#1!#6]~1)=[!#1!#6]",1.0,simplified
205,[H][#6]-1-[!#1]=[!#1]-[!#1]=[#7]-[!#1](!@=[!#1!#6])-[#6]-1[H],1.0,simplified
206,"[H][#6]-1-[#8,#7]-[#6]([H])-[#6]([H])-[#7]([H])-[#6]=[#7]-1",1.0,simplified
207,[H][!#1]-1[!#1!#6]=[!#1]-[!#1]=[!#1]-[!#1](!@=[!#1!#6])-[!#1]-1[H],1.0,simplified
208,[!#1!#6]!@=*-1-[#6]~[#6]~[#6]~[#6]-*(!@=[!#1!#6])-[#6]-1,1.0,simplified
209,"[!#1!#6]!@=[!#1]-,:1-,:[!#1!#6]=,:[!#1]~[!#1]~[!#1]~[!#1]=,:[!#1!#6]-:1",1.0,simplified
210,[H][!#1]-1=[!#1!#6][!#1]-[#8]-[!#1]([H])=[!#1]([H])-[!#1]-1,1.0,simplified
211,[H][#7]-1-[#6]-[#6]-[!#1]-[#7]([H])-[#7]([H])-[!#1]-1!@=[!#1!#6],1.0,simplified
212,[H][#6]([H])!@-[#7]1-[#6]([H])-[#7]([H])-[!#1]-[#6]([H])-[#8]C1([H])[H],1.0,simplified
213,[!#1!#6]=[!#1]~1~[!#1!#6]~[!#1]~[!#1!#6]~[!#1](=[!#1!#6])~[!#1!#6]~[!#1]~[!#1!#6]~1,1.0,simplified
214,[#6]-1(-[!#1]=[!#1]-[!#1]=[!#1]-[!#1]=[!#1]~1)(*)*,1.0,simplified
215,"[$(N=@[#6](-@[!#1])[#1,F,Cl,Br,I])!$(N=@1[!#1]=,:[!#1][!#1]=,:[!#1]-@[#6]=@1)!$(N=@1[!#1]=,:[!#1][#7,#8][#6,#16X4v6](-@[#6]=@1)=O)!$(N1=[#6][!#1]=,:[!#1][#7,#8][#6,#16X4v6]1=O)!$(N=@1[!#1]=,:[!#1][#6,#16X4v6]([#7,#8]-@[#6]=@1)=O)!$(N1=[#6][!#1]=,:[!#1][#6,#16X4v6]([#7,#8]1)=O)!$(N=@1[#6,#16X4v6]([!#1]=,:[!#1][#7]-@[#6]=@1)=[#8])]",1.0,basic
